championId,verdict,refImage,bands,rawRuns,maxPairwiseDeltaE,foregroundRatio,bboxHeightRatio,framesDropped,hash,duplicateOf,bandHexes,reasons
godie-h022,DUPLICATE,godie-h022.png,11,37,101.06,0.9790,1.0000,0,418399c407732253,godie-emfr,hair=#392c21 hatBand=#82020f hatBrim=#fcf8dd face=#c01c1d collar=#fff8fb chestTrim=#7d0700 top=#e6eec5 waist=#000000 pants=#ffffd8 shin=#000000 shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3897 種像素顏色收斂成 11 條帶，3886 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 418399c407732253 與 godie-emfr 相同 —— 圖示重複，強制人工
godie-h02k,FAIL,godie-h02k.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02n,FAIL,godie-h02n.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02r,FAIL,godie-h02r.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02s,FAIL,godie-h02s.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02u,FAIL,godie-h02u.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02v,FAIL,godie-h02v.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-h02y,PASS,godie-h02y.png,9,10,99.30,0.9690,1.0000,1,777b403a821fb5cd,,hair=#dddbd7 hatBand=#424140 face=#ffffff chestTrim=#67cfce top=#ffffff waist=#ffffee pants=#201817 shin=#585653 shoe=#100009,外框 #2d2c2a：丟棄 1 條與框色 ΔE < 10 的首/末帶（自動修） ｜ sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3594 種像素顏色收斂成 9 條帶，3584 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h02z,FAIL,godie-h02z.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-hapm,PASS,godie-hapm.png,11,41,100.00,0.9827,1.0000,0,e85431bd7144eb5a,,hair=#212a19 hatBand=#d1dcdf hatBrim=#000000 face=#ffffff collar=#613d46 chestTrim=#ffffff top=#955c51 waist=#ffffff pants=#914643 shin=#ffffff shoe=#101908,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3928 種像素顏色收斂成 11 條帶，3917 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-harf,DUPLICATE,godie-harf.png,11,17,85.13,0.9749,1.0000,0,ce6761f9fa1d750e,godie-e00j,hair=#2c3025 hatBand=#c2cdc7 hatBrim=#574d42 face=#000000 collar=#800000 chestTrim=#974949 top=#c1c1c1 waist=#c1c1c1 pants=#000000 shin=#68635e shoe=#12000f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：2042 種像素顏色收斂成 11 條帶，2031 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash ce6761f9fa1d750e 與 godie-e00j 相同 —— 圖示重複，強制人工
godie-hart,PASS,godie-hart.png,11,22,72.71,0.9775,1.0000,0,7444a10ec2d25fa9,,hair=#36372d hatBand=#c8c2c3 hatBrim=#23241d face=#bea48b collar=#766c58 chestTrim=#b1ae8c top=#89786b waist=#68606d pants=#a09184 shin=#616061 shoe=#15150b,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3742 種像素顏色收斂成 11 條帶，3731 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-hblm,DUPLICATE,godie-hblm.png,11,34,133.95,0.9854,1.0000,0,1fa09dc2aab6a995,godie-h021,hair=#000000 hatBand=#120400 hatBrim=#ffff29 face=#000000 collar=#ffffff chestTrim=#000000 top=#f4ffe6 waist=#300604 pants=#f7f4c1 shin=#260000 shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3636 種像素顏色收斂成 11 條帶，3625 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 1fa09dc2aab6a995 與 godie-h021 相同 —— 圖示重複，強制人工
